listing_id,reviewer_id,rating
14548703,56622760,1
14548703,23438167,5
14548703,53366374,5
14548703,89763332,5
14548703,11475768,5
14548703,92957929,5
14548703,3018876,5
14548703,17616702,5
14548703,7136891,5
14548703,327891359,5
14548703,73662129,5
14548703,200710776,5
14548703,47631445,5
14548703,33644315,4
14548703,237032576,5
14548703,15222036,5
14548703,217540882,4
14548703,54543132,5
14548703,85613395,5
14548703,64848592,5
14548703,168821984,5
14548703,159591301,5
14548703,21940342,5
14548703,4937950,5
14548703,7293124,5
14548703,49196471,4
14548703,23063108,4
14548703,84684465,5
14548703,232344878,5
14548703,130342622,5
14548703,95295250,5
14548703,141445946,5
14548703,116767623,5
14548703,54721126,5
39210161,8760535,5
39210161,44235120,0
39210161,7098881,5
25061472,13387224,3
25061472,163252680,3
25061472,15465032,5
25061472,88584995,0
40664009,118587902,5
40664009,16380064,5
40664009,2200205,5
40664009,35341531,5
22003908,80995234,5
22003908,101710124,5
22003908,101710124,5
22003908,101710124,5
22003908,197001788,5
22003908,20711427,5
22003908,17636374,5
12956342,64844246,4
12956342,614642,5
12956342,154085159,5
12956342,19079029,4
12956342,194464622,5
12956342,119050867,5
12956342,38715296,5
12956342,38715296,4
12956342,12850,5
12956342,74958255,5
12956342,54522908,4
12956342,186701341,5
12956342,126997568,5
12956342,8743695,2
12956342,21289593,5
12956342,96945991,5
12956342,111335890,5
12956342,5115544,5
12956342,26800604,5
12956342,30953990,5
12956342,56266502,5
12956342,2865871,3
12956342,127613356,5
12956342,66134053,5
12956342,5040837,5
12956342,48193133,5
12956342,13937911,4
12956342,4675085,5
12956342,10416109,5
12956342,110140127,5
12956342,2173465,5
12956342,7687894,5
12956342,70307174,4
12956342,102960677,5
12956342,4039248,5
12956342,95558801,5
12956342,20979944,5
12956342,14700052,4
12956342,4718690,5
12956342,35301337,4
12956342,51634714,5
12956342,5222045,0
12956342,12556505,0
12956342,39398700,5
12956342,278799061,5
12956342,273137286,1
12956342,249868102,5
12956342,48629139,4
12956342,26566967,5
12956342,75831388,5
12956342,252827363,5
12956342,81577595,5
12956342,40748054,5
12956342,39021081,4
12956342,104193916,5
12956342,54947702,5
12956342,102331617,5
12956342,15108251,4
12956342,118614579,5
12956342,113994952,5
12956342,34896405,5
12956342,127437383,5
12956342,106778249,5
12956342,116205150,5
29497886,36523583,5
29497886,13855345,5
29497886,17056182,5
29497886,207892100,5
29497886,130816388,5
29497886,10071993,5
21328281,3552827,5
21328281,175254891,5
21328281,96779931,5
37473967,131691357,5
21370406,295992243,4
21370406,49789623,0
21370406,45864448,5
21370406,127917735,5
21370406,89048145,5
32797170,317561502,0
21316564,10993023,5
21316564,202151643,5
21316564,119788245,3
21316564,153585095,5
31472372,31145804,5
31472372,2115599,5
31472372,173276692,5
31472372,237993175,5
33455372,132206539,5
21788434,75711053,5
21788434,31113043,2
21788434,53519604,0
21788434,11557264,5
21788434,132923959,5
20261582,27407269,3
20261582,151745504,5
20261582,11521990,5
38423951,15858176,5
38423951,130935364,5
16305109,11335015,5
16305109,69595328,5
16305109,55198909,5
16305109,1133222,5
16305109,20634937,5
16305109,156140308,3
16305109,25563787,5
16305109,134680520,5
16305109,32669837,4
16305109,130988295,5
16305109,127943,5
16305109,9795037,5
16305109,71733860,5
16305109,63684605,5
16305109,38387080,4
16305109,145590826,5
16305109,48049905,5
16305109,117572322,5
16305109,53175349,5
19793754,10997040,5
19793754,225505251,5
19793754,14951076,5
19793754,11838980,5
19793754,18074996,5
19793754,192947407,5
19793754,242839326,5
19793754,46603244,5
19793754,61156500,5
19793754,73278661,5
19793754,90413148,5
19793754,2660615,5
19793754,175406,5
19793754,238182761,4
19793754,122997488,5
19793754,49235626,5
19793754,24666179,5
19793754,203250504,5
19793754,219611236,5
19793754,219611236,5
19793754,50867750,5
19793754,192987974,5
19793754,197614628,5
19793754,116967417,5
19793754,177975194,5
19793754,22150729,5
19793754,25002201,5
19793754,145251788,5
19793754,163495591,5
19793754,20286126,4
19793754,96788620,5
19793754,142098026,5
19793754,42083628,4
19793754,141624291,5
19793754,145251788,5
19793754,31915989,5
19793754,75695474,5
19793754,73756616,5
19793754,81621767,5
19793754,251196881,5
19793754,229130187,4
19793754,207455019,5
19793754,208211340,5
19793754,191597780,5
19793754,48511544,5
